Batch,File,Line,Pattern,Original,Replaced,Verified
16b,Runtime\Script\Statements\Function\Creator.Method.cs,7955,typeof(long); typeof(string),"			argumentTypeArray = [typeof(string), typeof(long), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.String, EraType.Integer, EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,7986,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,7987,typeof(string),"			// argumentTypeArray = new Type[] { typeof(Int64), typeof(string), typeof(string), typeof(Int64), typeof(Int64), typeof(Int64), typeof(string) };","			// argumentTypeArray = new Type[] { typeof(Int64), EraType.String, EraType.String, typeof(Int64), typeof(Int64), typeof(Int64), EraType.String };",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8047,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8048,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8074,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8093,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8125,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8139,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8156,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8157,typeof(string),"			// argumentTypeArray = new Type[] { typeof(string) ,typeof(Int64), typeof(Int64), typeof(Int64) };","			// argumentTypeArray = new Type[] { EraType.String ,typeof(Int64), typeof(Int64), typeof(Int64) };",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8265,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8363,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8364,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8400,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8401,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8455,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8456,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8477,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8507,typeof(string),							if (func.MethodType == typeof(string)),							if (func.MethodType == EraType.String),
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8509,typeof(long),							else if (func.MethodType == typeof(long)),							else if (func.MethodType == EraType.Integer),
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8519,typeof(string),					if (func.MethodType == typeof(string)),					if (func.MethodType == EraType.String),
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8521,typeof(long),					else if (func.MethodType == typeof(long)),					else if (func.MethodType == EraType.Integer),
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8537,typeof(string),							if (func.MethodType == typeof(string)),							if (func.MethodType == EraType.String),
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8539,typeof(long),							else if (func.MethodType == typeof(long)),							else if (func.MethodType == EraType.Integer),
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8557,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8575,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8598,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8611,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8612,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8627,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8661,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8685,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
