Batch,File,Line,Pattern,Original,Replaced,Verified
16b,Runtime\Script\Statements\Function\Creator.Method.cs,40,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,63,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,166,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,167,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,194,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,269,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,323,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,354,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,384,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,432,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,607,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,656,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,819,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,820,typeof(long); typeof(string),"			argumentTypeArray = [typeof(string), typeof(long)];","			argumentTypeArray = [EraType.String, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,839,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,840,typeof(long); typeof(string),"			argumentTypeArray = [typeof(string), typeof(long)];","			argumentTypeArray = [EraType.String, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,862,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,932,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,982,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1066,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1088,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1304,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1401,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1510,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1511,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1526,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1528,typeof(long); typeof(string),"				argumentTypeArray = [typeof(string), typeof(long)];","				argumentTypeArray = [EraType.String, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1530,typeof(string),				argumentTypeArray = [typeof(string)];,				argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1568,typeof(long),"			var c = dt.Columns.Add(""id"", typeof(long));","			var c = dt.Columns.Add(""id"", EraType.Integer);",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1581,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1591,typeof(string),"				argumentTypeArray = [typeof(string), typeof(string)];","				argumentTypeArray = [EraType.String, EraType.String];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1663,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1693,typeof(string),			bool isString = dt.Columns[name].DataType == typeof(string);,			bool isString = dt.Columns[name].DataType == EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1705,typeof(string),			if (dt.Columns[name].DataType != typeof(string)),			if (dt.Columns[name].DataType != EraType.String),
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1712,typeof(string),			if (dt.Columns[name].DataType == typeof(string)),			if (dt.Columns[name].DataType == EraType.String),
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1817,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1818,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1835,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1887,typeof(long); typeof(string),			ReturnType = type == Operation.Gets ? typeof(string) : typeof(long);,			ReturnType = type == Operation.Gets ? EraType.String : EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1954,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1979,typeof(string),					bool isString = dt.Columns[name].DataType == typeof(string);,					bool isString = dt.Columns[name].DataType == EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,1996,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2061,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2099,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2100,typeof(string),"			argumentTypeArray = [typeof(string), typeof(string), typeof(string)];","			argumentTypeArray = [EraType.String, EraType.String, EraType.String];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2135,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2136,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2161,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2165,typeof(string),"					argumentTypeArray = [typeof(string), typeof(string), typeof(string)]; break;","					argumentTypeArray = [EraType.String, EraType.String, EraType.String]; break;",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2168,typeof(string),"					argumentTypeArray = [typeof(string), typeof(string)]; break;","					argumentTypeArray = [EraType.String, EraType.String]; break;",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2170,typeof(string),					argumentTypeArray = [typeof(string)]; break;,					argumentTypeArray = [EraType.String]; break;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2202,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2206,typeof(string),"					argumentTypeArray = [typeof(string), typeof(string)]; break;","					argumentTypeArray = [EraType.String, EraType.String]; break;",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2208,typeof(string),					argumentTypeArray = [typeof(string)]; break;,					argumentTypeArray = [EraType.String]; break;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2303,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2304,typeof(string),"			argumentTypeArray = [typeof(string), typeof(string)];","			argumentTypeArray = [EraType.String, EraType.String];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2342,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2417,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2418,typeof(string),"			argumentTypeArray = [typeof(string), typeof(string)];","			argumentTypeArray = [EraType.String, EraType.String];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2439,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2440,typeof(string),"			argumentTypeArray = [typeof(string), typeof(string), typeof(string)];","			argumentTypeArray = [EraType.String, EraType.String, EraType.String];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2491,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2492,typeof(string),"			argumentTypeArray = [typeof(string), typeof(string), typeof(string)];","			argumentTypeArray = [EraType.String, EraType.String, EraType.String];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2562,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2592,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2628,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2629,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2642,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2665,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2688,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2711,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2734,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2735,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2757,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2811,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2812,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2830,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2840,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2879,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2923,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2933,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,2977,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3068,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3109,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3175,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3176,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3211,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3212,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3240,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3241,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3263,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3312,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3326,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3354,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3372,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3386,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3404,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3429,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3443,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3444,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3460,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3479,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3493,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3494,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3520,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3521,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3549,typeof(string),	//		ReturnType = typeof(string);,	//		ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3577,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3623,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3637,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3651,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3665,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3686,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3700,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3715,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3733,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3793,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3803,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3850,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3851,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3868,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3869,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3894,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3895,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3912,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3913,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3931,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3932,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3938,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3939,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3974,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,3975,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4001,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4002,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4016,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4017,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4040,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4041,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4056,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4057,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4072,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4073,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4088,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4089,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4106,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4116,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4179,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4190,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4285,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4337,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4392,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4446,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4458,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4473,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4537,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4538,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4570,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4624,typeof(string),"			argumentTypeArray = new Type[] { typeof(string), typeof(string) };","			argumentTypeArray = new Type[] { EraType.String, EraType.String };",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4665,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4666,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4691,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4692,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4717,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4814,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4815,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4831,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4840,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,4913,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5176,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5177,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5191,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5192,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5206,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5251,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5309,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5373,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5374,typeof(string),"			argumentTypeArray = [typeof(string), typeof(string)];","			argumentTypeArray = [EraType.String, EraType.String];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5397,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5444,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5487,typeof(double),			ReturnType = typeof(double);,			ReturnType = EraType.Float;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5488,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5509,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5510,typeof(string); typeof(double),"			argumentTypeArray = [typeof(double), typeof(string)];","			argumentTypeArray = [EraType.Float, EraType.String];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5544,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5545,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5551,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5552,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5580,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5595,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
